Cuprite,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Bearing,TRUE, F623,3,,,,,,,,,,
Shaft,TRUE,8x60mm,3,,,,,,,,,,
Bearing,TRUE,F695,6,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Other Hardware,,,,,,,,,,,,,
Button,FALSE,M5x10,100,$0.09,$9.48,,,https://www.amazon.com/iexcell-Stainless-Socket-Button-Screws/dp/B0BJVNYWW1/ref=sr_1_4?s=industrial&sr=1-4,,,,,
Button,FALSE,M5x16,50,$0.17,$8.36,,,https://www.amazon.com/iexcell-Stainless-Socket-Button-Screws/dp/B0B5LTPSGN/ref=sr_1_4?s=industrial&sr=1-4,,,,,
T Nuts,FALSE,M5 TNuts,200,$0.03,$6.99,,,https://www.amazon.com/HELIFOUNER-Pieces-2020-Aluminum-Profile/dp/B0B211BNMS/ref=sr_1_1_sspa?s=industrial&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY,,,,,
M3 Screws,TRUE,M3 Screws,,,,,,,,,,,
HeatSets,TRUE,3x4x5mm Heatsets,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Parts Total(Shipping Included),,Tax,Total,,,,,,,,,
From Ali:,,$85.26,$7.33,$92.59,,,,,,,,,
From Amazon:,,$24.83,$5.50,$30.33,,,,,,,,,
Oshcut:,,$79.45,$4.80,$84.25,,,,,,,,,
BST:,,$62.99,$0.00,$62.99,,,,,,,,,
IN3DTEC,,$75.80,$2.00,$77.80,,,,,,,,,
,,,,,,,,,,,,,
Total,$347.96,,,,,,,,,,,,
